Datum,Ort,NS,NS_flag,LF,LF_flag,pH,pH_flag,NH4,NH4_flag,Na,Na_flag,K,K_flag,Ca,Ca_flag,Mg,Mg_flag,Cl,Cl_flag,NO3,NO3_flag,SO4,SO4_flag,Pb,Pb_flag,Cd,Cd_flag
2014-10-15,NB,4.968226458694397,1.0,4.7,1.0,5.58,1.0,0.288,1.0,0.122,1.0,0.147,1.0,0.076,1.0,0.012,1.0,0.16,1.0,0.78,1.0,0.13,1.0,,7.0,,7.0
2014-10-15,WW,1.8486424032351243,1.0,14.0,1.0,4.35,1.0,0.2185714285714285,1.0,0.1,1.0,0.29,1.0,0.15,1.0,0.1,1.0,0.1,1.0,2.834285714285714,1.0,0.23,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-15,LU,0.4,1.0,7.28,1.0,5.64,1.0,0.089,1.0,5.1,1.0,0.258,1.0,1.204,1.0,0.067,1.0,0.344,1.0,1.648,1.0,5.98,1.0,,7.0,,7.0
2014-10-16,LU,1.8,1.0,4.19,1.0,5.01,1.0,0.151,1.0,0.876,1.0,0.044,1.0,0.246,1.0,0.023,1.0,0.139,1.0,1.339,1.0,0.834,1.0,,7.0,,7.0
2014-10-16,DR,10.0,1.0,4.4,1.0,5.2,1.0,0.055,1.0,0.088,1.0,0.014,1.0,0.083,1.0,0.01,1.0,0.106,1.0,0.113,1.0,0.299,1.0,,7.0,,7.0
2014-10-16,LI,3.5,1.0,11.44,1.0,5.99,1.0,0.21,1.0,0.971,1.0,0.01,1.0,0.598,1.0,0.05,1.0,0.29,1.0,0.465,1.0,2.014,1.0,,7.0,,7.0
2014-10-16,HF,6.528018486424033,1.0,4.2,1.0,4.89,1.0,0.094,1.0,0.085,1.0,0.0652,1.0,0.117,1.0,0.021,1.0,0.12,1.0,0.55,1.0,0.18,1.0,,7.0,,7.0
2014-10-17,SO,8.0,1.0,2.32,1.0,5.67,1.0,0.07,1.0,0.049,1.0,0.01,1.0,0.105,1.0,0.011,1.0,0.025,1.0,0.25,1.0,0.124,1.0,8.297521412816989e-05,1.0,0.0103017647211763,1.0
2014-10-17,WW,2.1663778162911616,1.0,8.0,1.0,4.68,1.0,0.1285714285714286,1.0,0.1,1.0,0.1,1.0,0.28,1.0,0.1,1.0,0.1,1.0,1.6828571428571428,1.0,0.1,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-17,LI,9.8,1.0,13.82,1.0,5.14,1.0,0.062,1.0,0.969,1.0,0.011,1.0,0.628,1.0,0.055,1.0,0.289,1.0,0.976,1.0,2.007,1.0,,7.0,,7.0
2014-10-17,OS,14.5,1.0,6.57,1.0,5.9,1.0,0.375,1.0,0.099,1.0,0.01,1.0,0.134,1.0,0.012,1.0,0.075,1.0,0.637,1.0,0.326,1.0,,7.0,,7.0
2014-10-17,LU,8.2,1.0,3.5,1.0,5.72,1.0,0.05,1.0,0.074,1.0,0.012,1.0,0.097,1.0,0.01,1.0,0.067,1.0,0.815,1.0,0.224,1.0,,7.0,,7.0
2014-10-17,HF,1.6753321779318315,1.0,7.7,1.0,4.89,1.0,0.014,1.0,,7.0,,7.0,,7.0,,7.0,0.18,1.0,0.027,1.0,0.44,1.0,,7.0,,7.0
2014-10-17,NB,3.5817446562680533,1.0,8.3,1.0,5.19,1.0,0.316,1.0,0.15,1.0,0.0897,1.0,0.308,1.0,0.032,1.0,0.45,1.0,1.13,1.0,0.64,1.0,,7.0,,7.0
2014-10-18,WW,2.4552281917966496,1.0,11.0,1.0,4.59,1.0,0.1671428571428571,1.0,0.1,1.0,0.1,1.0,0.34,1.0,0.1,1.0,0.0335,1.0,2.17,1.0,0.22,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-19,DR,7.4,1.0,7.38,1.0,5.74,1.0,0.108,1.0,0.524,1.0,0.061,1.0,0.446,1.0,0.03,1.0,0.388,1.0,0.966,1.0,0.587,1.0,,7.0,,7.0
2014-10-19,NH,31.7735413056037,1.0,4.0,1.0,5.82,1.0,0.4885714285714285,1.0,0.1,1.0,0.0335,1.0,0.15,1.0,0.1,1.0,0.1,1.0,0.7971428571428572,1.0,0.36,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-19,WW,4.332755632582323,1.0,7.0,1.0,4.86,1.0,0.1542857142857143,1.0,0.1,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.2,1.0,1.417142857142857,1.0,0.1,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-20,GS,19.4,1.0,4.48,1.0,6.13,1.0,0.172,1.0,0.116,1.0,0.094,1.0,0.355,1.0,0.03,1.0,0.148,1.0,0.444,1.0,0.285,1.0,,7.0,,7.0
2014-10-20,HG,11.0,1.0,15.25,1.0,6.12,1.0,1.006,1.0,0.077,1.0,0.081,1.0,0.819,1.0,0.064,1.0,0.928,1.0,2.47,1.0,0.825,1.0,,7.0,,7.0
2014-10-20,WW,3.466204506065858,1.0,9.0,1.0,4.6,1.0,0.1015714285714285,1.0,0.1,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.53,1.0,1.727142857142857,1.0,0.24,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-20,OS,17.2,1.0,7.35,1.0,5.96,1.0,0.555,1.0,0.099,1.0,0.023,1.0,0.132,1.0,0.017,1.0,0.097,1.0,0.931,1.0,0.457,1.0,,7.0,,7.0
2014-10-20,NH,11.26516464471404,1.0,4.0,1.0,5.14,1.0,0.2057142857142857,1.0,0.0335,1.0,0.0335,1.0,0.15,1.0,0.1,1.0,0.0335,1.0,0.5314285714285715,1.0,0.23,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-20,HF,2.946273830155979,1.0,4.6,1.0,5.38,1.0,0.207,1.0,0.062,1.0,0.025,1.0,0.306,1.0,0.024,1.0,0.11,1.0,0.54,1.0,0.35,1.0,,7.0,,7.0
2014-10-20,SO,0.8,1.0,7.72,1.0,6.24,1.0,0.331,1.0,0.516,1.0,0.072,1.0,0.517,1.0,0.068,1.0,0.178,1.0,1.231,1.0,0.64,1.0,,7.0,,7.0
2014-10-20,MB,35.0,1.0,7.5,1.0,5.41,1.0,0.535,1.0,0.025,1.0,0.033,1.0,0.117,1.0,0.023,1.0,0.056,1.0,1.46,1.0,0.506,1.0,,7.0,,7.0
2014-10-20,DR,4.3,1.0,5.36,1.0,5.53,1.0,0.319,1.0,0.128,1.0,0.036,1.0,0.125,1.0,0.012,1.0,0.084,1.0,0.874,1.0,0.311,1.0,,7.0,,7.0
2014-10-20,LI,9.3,1.0,16.23,1.0,4.9,1.0,0.076,1.0,0.99,1.0,0.025,1.0,0.576,1.0,0.051,1.0,0.289,1.0,1.278,1.0,2.035,1.0,,7.0,,7.0
2014-10-20,AF,9.5,1.0,12.44,1.0,4.75,1.0,0.337,1.0,0.065,1.0,0.043,1.0,0.086,1.0,0.054,1.0,0.062,1.0,2.069,1.0,0.462,1.0,,7.0,,7.0
2014-10-20,LU,19.2,1.0,2.26,1.0,5.32,1.0,0.221,1.0,0.057,1.0,0.01,1.0,0.171,1.0,0.011,1.0,0.044,1.0,0.556,1.0,0.248,1.0,,7.0,,7.0
2014-10-21,IV,1.4442518775274409,1.0,8.7,1.0,6.06,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,0.05,1.0,1.38,1.0,0.39,1.0,,7.0,,7.0
2014-10-21,HG,5.1,1.0,30.2,1.0,6.64,1.0,0.661,1.0,0.393,1.0,0.246,1.0,2.593,1.0,0.758,1.0,3.774,1.0,1.996,1.0,1.077,1.0,,7.0,,7.0
2014-10-21,MB,0.9,1.0,14.25,1.0,5.51,1.0,0.635,1.0,0.272,1.0,0.274,1.0,0.519,1.0,0.116,1.0,0.536,1.0,2.678,1.0,1.104,1.0,,7.0,,7.0
2014-10-21,LU,6.6,1.0,16.2,1.0,4.52,1.0,0.01,1.0,0.042,1.0,0.02,1.0,0.128,1.0,0.012,1.0,0.034,1.0,0.337,1.0,0.166,1.0,,7.0,,7.0
2014-10-21,GS,4.4,1.0,12.73,1.0,5.28,1.0,0.175,1.0,0.543,1.0,0.219,1.0,0.522,1.0,0.101,1.0,0.828,1.0,1.223,1.0,1.341,1.0,,7.0,,7.0
2014-10-21,LI,19.9,1.0,6.45,1.0,5.7,1.0,0.085,1.0,0.147,1.0,0.01,1.0,0.572,1.0,0.056,1.0,0.37,1.0,0.052,1.0,0.992,1.0,,7.0,,7.0
2014-10-21,NH,17.331022530329292,1.0,9.0,1.0,4.68,1.0,0.2699999999999999,1.0,0.1,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.1,1.0,0.7085714285714285,1.0,1.0,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-21,OS,9.0,1.0,7.02,1.0,5.92,1.0,0.498,1.0,0.106,1.0,0.028,1.0,0.135,1.0,0.017,1.0,0.095,1.0,0.926,1.0,0.447,1.0,,7.0,,7.0
2014-10-21,NB,21.51935297515887,1.0,4.9,1.0,5.37,1.0,0.235,1.0,0.114,1.0,0.025,1.0,0.152,1.0,0.026,1.0,0.3,1.0,0.61,1.0,0.3,1.0,,7.0,,7.0
2014-10-21,DR,2.8,1.0,29.8,1.0,4.58,1.0,0.316,1.0,0.676,1.0,0.171,1.0,1.454,1.0,0.142,1.0,0.497,1.0,4.618,1.0,3.388,1.0,,7.0,,7.0
2014-10-21,SO,16.9,1.0,2.77,1.0,5.71,1.0,0.098,1.0,0.044,1.0,0.01,1.0,0.167,1.0,0.011,1.0,0.036,1.0,0.263,1.0,0.265,1.0,0.0001529341891738,1.0,0.0137341600815957,1.0
2014-10-21,WW,2.368573079145003,1.0,9.0,1.0,4.64,1.0,0.1221428571428571,1.0,0.1,1.0,0.26,1.0,0.15,1.0,0.1,1.0,0.56,1.0,1.3728571428571428,1.0,0.37,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-21,HF,7.221259387637205,1.0,6.4,1.0,5.09,1.0,0.076,1.0,0.198,1.0,0.0903,1.0,0.192,1.0,0.039,1.0,0.34,1.0,0.51,1.0,0.54,1.0,,7.0,,7.0
2014-10-21,AF,47.9,1.0,4.97,1.0,5.08,1.0,0.01,1.0,0.022,1.0,0.01,1.0,0.104,1.0,0.022,1.0,0.035,1.0,0.322,1.0,0.343,1.0,,7.0,,7.0
2014-10-22,GS,58.7,1.0,7.85,1.0,4.91,1.0,0.121,1.0,0.027,1.0,0.027,1.0,0.058,1.0,0.011,1.0,0.048,1.0,0.57,1.0,0.588,1.0,,7.0,,7.0
2014-10-22,SO,18.3,1.0,1.62,1.0,5.73,1.0,0.01,1.0,0.031,1.0,0.01,1.0,0.104,1.0,0.01,1.0,0.007,1.0,0.031,1.0,0.069,1.0,3.34484407933862e-05,1.0,0.003647342585645,1.0
2014-10-22,HF,43.90525707683421,1.0,6.5,1.0,4.95,1.0,0.073,1.0,0.226,1.0,0.1036,1.0,0.194,1.0,0.03,1.0,0.35,1.0,0.49,1.0,0.62,1.0,,7.0,,7.0
2014-10-22,NB,32.06239168110919,1.0,7.2,1.0,4.83,1.0,0.144,1.0,0.068,1.0,0.0556,1.0,0.025,1.0,0.012,1.0,0.14,1.0,0.59,1.0,0.62,1.0,,7.0,,7.0
2014-10-22,WW,43.32755632582322,1.0,8.0,1.0,4.77,1.0,0.18,1.0,0.1,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.1,1.0,1.062857142857143,1.0,0.77,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-22,LU,37.9,1.0,8.53,1.0,4.93,1.0,0.043,1.0,0.047,1.0,0.01,1.0,0.024,1.0,0.01,1.0,0.062,1.0,0.799,1.0,1.047,1.0,,7.0,,7.0
2014-10-22,NH,31.7735413056037,1.0,26.0,1.0,4.3,1.0,0.887142857142857,1.0,0.44,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.51,1.0,1.727142857142857,1.0,3.2,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-22,IV,9.243212016175622,1.0,8.6,1.0,6.23,1.0,0.973,1.0,0.025,1.0,0.0537,1.0,0.093,1.0,0.023,1.0,0.05,1.0,1.35,1.0,0.38,1.0,,7.0,,7.0
2014-10-22,LI,5.0,1.0,7.64,1.0,5.42,1.0,0.048,1.0,0.158,1.0,0.011,1.0,0.619,1.0,0.059,1.0,0.369,1.0,0.297,1.0,1.034,1.0,,7.0,,7.0
2014-10-22,OS,13.5,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-10-22,AF,9.6,1.0,7.99,1.0,4.95,1.0,0.01,1.0,0.06,1.0,0.084,1.0,0.209,1.0,0.034,1.0,0.06,1.0,0.706,1.0,0.67,1.0,,7.0,,7.0
